question,answer01,answer02,answer03,answerScore01,answerScore02,answerScore03,qitemNo,group,계열
법률 지식을 바탕으로 제도를 개선하고 사람들에게 도움을 준다.,매우 싫다,보통이다,매우 좋다,1,3,5,28,3,문과계열
재판을 진행하고 법률에 근거하여 판결을 내린다.,매우 싫다,보통이다,매우 좋다,1,3,5,29,3,문과계열
국회에서 국가나 국민의 삶에 영향을 미치는 법률을 만든다.,매우 싫다,보통이다,매우 좋다,1,3,5,30,3,문과계열
법령과 규정에 따라 국가나 지방 자치 단체의 정책을 기획하고 수행한다.,매우 싫다,보통이다,매우 좋다,1,3,5,31,3,문과계열
법률 지식을 가지고 개인이나 단체를 대신하여 재판에서 변호한다.,매우 싫다,보통이다,매우 좋다,1,3,5,32,3,문과계열
국가의 정책이 잘 시행되고 있는지 관리·감독한다.,매우 싫다,보통이다,매우 좋다,1,3,5,33,3,문과계열
시민들의 삶의 질을 높일 수 있는 제도와 기관의 역할을 연구한다. ,매우 싫다,보통이다,매우 좋다,1,3,5,34,3,문과계열
공공 기관에서 행정 업무를 담당한다.,매우 싫다,보통이다,매우 좋다,1,3,5,35,3,문과계열
국가를 대표하여 다른 나라와 협상한다.,매우 싫다,보통이다,매우 좋다,1,3,5,36,3,문과계열
"신체적, 정신적으로 어려움에 처한 사람들을 돕는다.",매우 싫다,보통이다,매우 좋다,1,3,5,37,4,문과계열
행복한 노후 생활을 위해 상담하고 계획을 세워 준다.,매우 싫다,보통이다,매우 좋다,1,3,5,38,4,문과계열
홀로 계신 어르신을 찾아가 돕는 등 봉사활동을 한다.,매우 싫다,보통이다,매우 좋다,1,3,5,39,4,문과계열
직업을 구하는 사람에게 적절한 일자리를 찾아서 소개해준다.,매우 싫다,보통이다,매우 좋다,1,3,5,40,4,문과계열
효율적인 학습이 이루어질 수 있도록 교육 환경을 개선하고 지원한다.,매우 싫다,보통이다,매우 좋다,1,3,5,41,4,문과계열
신체가 불편한 사람의 재활 훈련을 돕는다.,매우 싫다,보통이다,매우 좋다,1,3,5,42,4,문과계열
부모의 도움을 받지 못하는 아이들을 지도하고 돕는다.,매우 싫다,보통이다,매우 좋다,1,3,5,43,4,문과계열
가정이나 사회에서 어려움을 겪는 사람들이 안정된 생활을 할 수 있도록 돕는다.,매우 싫다,보통이다,매우 좋다,1,3,5,44,4,문과계열
청소년 유해 환경을 규제하고 청소년의 건전한 성장을 돕는다.,매우 싫다,보통이다,매우 좋다,1,3,5,45,4,문과계열
대학에서 전공 학문을 연구하며 학생들에게 강의한다.,매우 싫다,보통이다,매우 좋다,1,3,5,46,5,문과계열
학교에서 학생들에게 수업하고 생활을 지도한다.,매우 싫다,보통이다,매우 좋다,1,3,5,47,5,문과계열
교육훈련생에게 필요한 지식과 기능을 가르친다.,매우 싫다,보통이다,매우 좋다,1,3,5,48,5,문과계열
학생이 틀린 시험 문제의 답을 찾아 주고 설명해준다.,매우 싫다,보통이다,매우 좋다,1,3,5,49,5,문과계열
학생의 성장을 위해 반복적으로 교육하고 지도한다.,매우 싫다,보통이다,매우 좋다,1,3,5,50,5,문과계열
학교의 교육 과정을 편성하고 운영한다. ,매우 싫다,보통이다,매우 좋다,1,3,5,51,5,문과계열
교과에 대한 지식을 바탕으로 수업 자료를 준비한다. ,매우 싫다,보통이다,매우 좋다,1,3,5,52,5,문과계열
"학생들의 정서, 학업 및 진로에 대한 고민을 상담한다.",매우 싫다,보통이다,매우 좋다,1,3,5,53,5,문과계열
친구가 어려워하는 문제를 가르쳐 준다.,매우 싫다,보통이다,매우 좋다,1,3,5,54,5,문과계열
필요에 따라 용도에 맞는 제품을 선택하여 추천한다.,매우 싫다,보통이다,매우 좋다,1,3,5,73,8,문과계열
트렌드를 분석하고 고객의 요구에 따라 맞춤형 정보를 제공한다.,매우 싫다,보통이다,매우 좋다,1,3,5,74,8,문과계열
고객의 요구에 맞는 광고를 기획 제작한다.,매우 싫다,보통이다,매우 좋다,1,3,5,75,8,문과계열
"인터넷 검색을 통한 광고, 브랜드 등의 트렌드를 분석한다. ",매우 싫다,보통이다,매우 좋다,1,3,5,76,8,문과계열
마케팅과 소비자 행동에 대한 지식을 활용하여 상품 판매 전략을 짠다.,매우 싫다,보통이다,매우 좋다,1,3,5,77,8,문과계열
판매 예정된 상품을 미리 사용해보고 장·단점을 찾아낸다.,매우 싫다,보통이다,매우 좋다,1,3,5,78,8,문과계열
구매자에게 효과적으로 홍보하여 제품과 서비스를 판매한다.,매우 싫다,보통이다,매우 좋다,1,3,5,79,8,문과계열
제품의 생산과정과 품질을 관리하고 인증한다. ,매우 싫다,보통이다,매우 좋다,1,3,5,80,8,문과계열
유통 업체들에서 주문 상품이 어떻게 신속배달 되는지 알아본다.,매우 싫다,보통이다,매우 좋다,1,3,5,81,8,문과계열
회사의 수입 및 지출 자금을 관리한다.,매우 싫다,보통이다,매우 좋다,1,3,5,82,9,문과계열
조직의 목표달성을 위해 인적·물적 자원을 관리한다.,매우 싫다,보통이다,매우 좋다,1,3,5,83,9,문과계열
자산을 투자한 고객들이 수익을 얻을 수 있도록 정보를 제공한다.,매우 싫다,보통이다,매우 좋다,1,3,5,84,9,문과계열
기업 경영의 문제점을 분석하고 해결책을 제시한다.,매우 싫다,보통이다,매우 좋다,1,3,5,85,9,문과계열
소셜 미디어나 인터넷을 이용해 창업자와 소액투자자를 중개한다.,매우 싫다,보통이다,매우 좋다,1,3,5,86,9,문과계열
경영동아리를 통해 회사 경영방식을 배우고 모의 창업에 참가해 본다.,매우 싫다,보통이다,매우 좋다,1,3,5,87,9,문과계열
"부동산(토지, 건물 등)이나 무형 자산의 경제적 가치를 평가한다.",매우 싫다,보통이다,매우 좋다,1,3,5,88,9,문과계열
"세계 정세 변화, 외환시장 동향 등 금융 관련 정보를 수집하고 분석한다.",매우 싫다,보통이다,매우 좋다,1,3,5,89,9,문과계열
저축이나 투자 등을 통해 용돈 관리와 재테크를 한다.,매우 싫다,보통이다,매우 좋다,1,3,5,90,9,문과계열
"결혼식, 졸업식, 영화제 등 축하 행사를 기획하여 진행한다.",매우 싫다,보통이다,매우 좋다,1,3,5,91,10,문과계열
여가활동을 즐길 수 있는 오락 프로그램이나 행사를 기획하여 진행한다.,매우 싫다,보통이다,매우 좋다,1,3,5,92,10,문과계열
"기업의 신년파티, 송년파티 등을 기획하고 진행한다.",매우 싫다,보통이다,매우 좋다,1,3,5,93,10,문과계열
학교 축제 프로그램을 주도적으로 계획하여 진행한다.,매우 싫다,보통이다,매우 좋다,1,3,5,94,10,문과계열
다양한 주제로 온·오프라인의 관광상품을 개발하거나 축제를 기획한다.,매우 싫다,보통이다,매우 좋다,1,3,5,95,10,문과계열
사람의 성향과 요구를 파악하여 적절한 레크리에이션을 제공한다.,매우 싫다,보통이다,매우 좋다,1,3,5,96,10,문과계열
문화와 여가에 관한 다양한 정보와 서비스를 제공한다.,매우 싫다,보통이다,매우 좋다,1,3,5,97,10,문과계열
국내외 새로운 여행지의 관광 상품을 개발한다.,매우 싫다,보통이다,매우 좋다,1,3,5,98,10,문과계열
여행을 계획하는 사람들에게 적합한 장소를 추천하고 일정을 소개한다.,매우 싫다,보통이다,매우 좋다,1,3,5,99,10,문과계열
지역 및 국가 간에 주고 받는 여러 가지 물건들을 안전하게 전달한다.,매우 싫다,보통이다,매우 좋다,1,3,5,136,15,문과계열
"버스, 기차, 항공기 등의 도착위치와 시간을 관리하고 통제한다.",매우 싫다,보통이다,매우 좋다,1,3,5,137,15,문과계열
승객과 화물을 목적지까지 안전하게 수송하는 교통수단을 운행한다.,매우 싫다,보통이다,매우 좋다,1,3,5,138,15,문과계열
날씨 정보를 제공하여 항공기의 안전한 이착륙을 돕는다. ,매우 싫다,보통이다,매우 좋다,1,3,5,139,15,문과계열
고객이 주문한 상품을 원하는 장소에 배달한다.,매우 싫다,보통이다,매우 좋다,1,3,5,140,15,문과계열
"물품 운송과 배송, 물품의 이동 경로를 알아본다.",매우 싫다,보통이다,매우 좋다,1,3,5,141,15,문과계열
"승객이나 화물을 운반하는 여객선, 항공기 등을 조종한다.",매우 싫다,보통이다,매우 좋다,1,3,5,142,15,문과계열
선박이 항구에서 안전하게 출항하거나 귀항하도록 수로를 안내한다.,매우 싫다,보통이다,매우 좋다,1,3,5,143,15,문과계열
우편물을 수집하고 신속하게 배달한다.,매우 싫다,보통이다,매우 좋다,1,3,5,144,15,문과계열
